id	url	page
890de55bf6b33056a07c1b8937e5c083	https://mfa.gov.sc/news/president-ramkalawan-sends-congratulatory-message-to-prime-minister-kristersson-of-the-kingdom-of-sweden/	6
493a176630d532499adc34e2c00d1ac9	https://mfa.gov.sc/news/seychelles-honorary-consuls-conference-2022/	7
11932fcbdd99328e882aa69be81cc00b	https://mfa.gov.sc/news/signing-of-the-minutes-of-meeting-of-the-seychelles-south-africa-3rd-joint-commission-on-bilateral-cooperation/	7
1bd1a9be3dd330ea926dd32a4a6d5f77	https://mfa.gov.sc/news/high-commissioner-of-pakistan-pays-courtesy-call-on-minister-sylvestre-radegonde/	7
2c56b34cafef3585acbee71b1e9c220e	https://mfa.gov.sc/news/visite-de-courtoisie-du-professeur-marimoutou-secretaire-general-de-la-coi-au-ministre-radegonde/	7
bc097d345ddb3a84b1b5cc52cb0fa828	https://mfa.gov.sc/news/newly-accredited-ambassador-of-the-kingdom-of-norway-pays-courtesy-call-on-seychelles-foreign-minister/	7
bbd9f76fc0da364b9b44eacfe40159ce	https://mfa.gov.sc/news/united-nations-resident-coordinator-pays-farewell-call-on-minister-radegonde/	7
6d81c90273123e268f292447f03af719	https://mfa.gov.sc/news/visite-dadieu-du-nonce-paolo-r-gualtieri/	7
961e508ddba93b809e6173b990118425	https://mfa.gov.sc/news/foreign-affairs-announces-the-passing-of-honorary-consul-harold-green/	7
b97bd73873a7333faff993f091a4d098	https://mfa.gov.sc/news/9th-european-union-political-dialogue/	7
43d629ee4018380a99e59fdd6ce72654	https://mfa.gov.sc/news/newly-accredited-high-commissioner-of-cyprus-pays-courtesy-call-on-seychelles-foreign-minister/	7
275260d3055e3abea9379b691acaa029	https://mfa.gov.sc/news/courtesy-call-by-newly-accredited-ambassador-for-romania/	8
04f7b43eaa233ffcbd1a41de910b9d98	https://mfa.gov.sc/news/lambassadrice-designee-de-france-rend-sa-premiere-visite-de-courtoisie-au-ministre-radegonde/	8
eb79038a7b763a2ea35dea39cd898656	https://mfa.gov.sc/news/president-wavel-ramkalawan-sends-a-congratulatory-message-for-the-national-day-of-the-peoples-republic-of-china/	8
9c59e8b907e8343cbbefd3b2a20c6d77	https://mfa.gov.sc/news/the-foreign-affairs-department-honours-its-late-ministers/	8
0cb2cf28b6f631ccbcc6f790d14544ff	https://mfa.gov.sc/news/farewell-call-by-h-e-mr-khaled-el-abyad/	8
f03fe40ea3c7399a9e411ecab8f8b599	https://mfa.gov.sc/news/lambassadeur-dominique-mas-rend-une-visite-dadieu-au-chef-de-la-diplomatie-seychelloise/	8
ea0814ce439c3d4cb3e3ede81fc4a0cb	https://mfa.gov.sc/news/courtesy-call-by-the-charge-daffaires-ad-interim-of-the-us-embassy/	8
be72cb437b75327bab2837530862052a	https://mfa.gov.sc/news/passing-of-her-majesty-queen-elizabeth-ii-all-flags-to-fly-half-mast-on-monday-19th-september/	8
40f07c2b153b3496a120d469c11d701d	https://mfa.gov.sc/news/president-ramkalawan-sends-a-congratulatory-message-to-king-charles-iii-on-his-accession-to-the-throne/	8
378009d90ae03d9b9593fcf2514c01e3	https://mfa.gov.sc/news/president-ramkalawan-sends-a-message-of-condolence-to-his-majesty-king-charles-iii/	8
00c258f8105b33e4b4462fe844d9de75	https://mfa.gov.sc/news/the-director-general-at-the-european-commission-directorate-general-for-maritime-affairs-and-fisheries-meets-with-minister-sylvestre-radegonde/	9
4917899e5db9358aa6ed3620e8f1c8ce	https://mfa.gov.sc/news/newly-accredited-high-commissioner-of-tanzania-pays-a-courtesy-call-on-minister-radegonde/	9
